Backbone,Classifier,Macro F1,Weighted F1,Accuracy,Balanced Acc.
ResNet-50,xgboost,0.7426 ± 0.0043,0.7725 ± 0.0052,0.7733 ± 0.0048,0.7615 ± 0.0025
ResNet-50,linear,0.6596 ± 0.0000,0.6839 ± 0.0000,0.6832 ± 0.0000,0.6752 ± 0.0000
EfficientNet-B0,xgboost,0.6717 ± 0.0085,0.7130 ± 0.0070,0.7125 ± 0.0070,0.6688 ± 0.0077
EfficientNet-B0,linear,0.5989 ± 0.0000,0.6500 ± 0.0000,0.6354 ± 0.0000,0.5996 ± 0.0000
DinoBloom-S,xgboost,0.9186 ± 0.0013,0.9361 ± 0.0012,0.9365 ± 0.0012,0.9235 ± 0.0015
DinoBloom-S,linear,0.9077 ± 0.0000,0.9308 ± 0.0000,0.9280 ± 0.0000,0.9088 ± 0.0000
ViT-S/16,xgboost,0.6847 ± 0.0107,0.7374 ± 0.0072,0.7437 ± 0.0053,0.6795 ± 0.0098
ViT-S/16,linear,0.7920 ± 0.0000,0.8143 ± 0.0000,0.8157 ± 0.0000,0.7813 ± 0.0000
Handcrafted,xgboost,0.6287 ± 0.0078,0.6879 ± 0.0081,0.7085 ± 0.0078,0.6500 ± 0.0097
Handcrafted,linear,0.4609 ± 0.0000,0.4991 ± 0.0000,0.5596 ± 0.0000,0.4934 ± 0.0000
Handcrafted (CellPose seg),xgboost,0.7879 ± 0.0029,0.8267 ± 0.0018,0.8491 ± 0.0020,0.8022 ± 0.0027
Handcrafted (CellPose seg),linear,0.5934 ± 0.0000,0.6640 ± 0.0000,0.7025 ± 0.0000,0.5833 ± 0.0000
