Backbone,Classifier,Class,Precision,Recall,F1,Support
ResNet-50,xgboost,Basophil,0.7227520435967303,0.8711001642036125,0.7900223380491437,1218.0
ResNet-50,xgboost,Eosinophil,0.8349784083898828,0.8684632659608598,0.8513917282591602,3117.0
ResNet-50,xgboost,Erythroblast,0.9335347432024169,0.3984526112185687,0.5585178490736556,1551.0
ResNet-50,xgboost,Lymphocyte,0.4945750452079566,0.9011532125205931,0.6386456509048453,1214.0
ResNet-50,xgboost,Monocyte,0.8343848580441641,0.7450704225352113,0.7872023809523809,1420.0
ResNet-50,xgboost,Seg. Neut.,0.8715382048715382,0.7846200060078101,0.8257982927600379,3329.0
ResNet-50,linear,Basophil,0.7422186751795691,0.7635467980295566,0.7527316875758802,1218.0
ResNet-50,linear,Eosinophil,0.7960320222763662,0.7337183188963747,0.7636060100166945,3117.0
ResNet-50,linear,Erythroblast,0.4810725552050473,0.39329464861379754,0.4327775807023767,1551.0
ResNet-50,linear,Lymphocyte,0.49155227032734955,0.7668863261943987,0.5990990990990991,1214.0
ResNet-50,linear,Monocyte,0.6636986301369863,0.6823943661971831,0.6729166666666667,1420.0
ResNet-50,linear,Seg. Neut.,0.763624637213802,0.7113247221387804,0.736547433903577,3329.0
EfficientNet-B0,xgboost,Basophil,0.7740046838407494,0.5426929392446633,0.638030888030888,1218.0
EfficientNet-B0,xgboost,Eosinophil,0.8894409937888199,0.6891241578440809,0.7765726681127982,3117.0
EfficientNet-B0,xgboost,Erythroblast,0.6030120481927711,0.6453900709219859,0.6234817813765182,1551.0
EfficientNet-B0,xgboost,Lymphocyte,0.45306324110671936,0.7553542009884678,0.5663990117356393,1214.0
EfficientNet-B0,xgboost,Monocyte,0.9019867549668874,0.4795774647887324,0.6262068965517241,1420.0
EfficientNet-B0,xgboost,Seg. Neut.,0.7389519439748853,0.9191949534394713,0.8192771084337349,3329.0
EfficientNet-B0,linear,Basophil,0.8202416918429003,0.4458128078817734,0.5776595744680851,1218.0
EfficientNet-B0,linear,Eosinophil,0.9033942558746736,0.6660250240615977,0.7667590027700831,3117.0
EfficientNet-B0,linear,Erythroblast,0.3290264423076923,0.7059961315280464,0.4488624718179955,1551.0
EfficientNet-B0,linear,Lymphocyte,0.7524950099800399,0.31054365733113676,0.43965014577259476,1214.0
EfficientNet-B0,linear,Monocyte,0.4983863531581374,0.7612676056338028,0.6023962106436334,1420.0
EfficientNet-B0,linear,Seg. Neut.,0.8152888273953649,0.7080204265545209,0.7578778135048232,3329.0
DinoBloom-S,xgboost,Basophil,0.9530090684253916,0.9490968801313628,0.951048951048951,1218.0
DinoBloom-S,xgboost,Eosinophil,0.9821200510855683,0.986846326596086,0.9844775164026244,3117.0
DinoBloom-S,xgboost,Erythroblast,0.9945750452079566,0.7092198581560284,0.8280015054572827,1551.0
DinoBloom-S,xgboost,Lymphocyte,0.7234553089382123,0.9934102141680395,0.8372093023255814,1214.0
DinoBloom-S,xgboost,Monocyte,0.9468390804597702,0.928169014084507,0.9374110953058321,1420.0
DinoBloom-S,xgboost,Seg. Neut.,0.9706498951781971,0.9735656353259237,0.9721055788842231,3329.0
DinoBloom-S,linear,Basophil,0.9850467289719627,0.8653530377668309,0.9213286713286714,1218.0
DinoBloom-S,linear,Eosinophil,0.9925662572721397,0.9852422200834136,0.988890677829657,3117.0
DinoBloom-S,linear,Erythroblast,0.9949748743718593,0.7659574468085106,0.8655737704918033,1551.0
DinoBloom-S,linear,Lymphocyte,0.6495176848874598,0.9983525535420099,0.787012987012987,1214.0
DinoBloom-S,linear,Monocyte,0.9699367088607594,0.8633802816901408,0.9135618479880775,1420.0
DinoBloom-S,linear,Seg. Neut.,0.9654864623623921,0.9747671973565636,0.9701046337817638,3329.0
ViT-S/16,xgboost,Basophil,0.9224318658280922,0.361247947454844,0.5191740412979351,1218.0
ViT-S/16,xgboost,Eosinophil,0.7620225336630942,0.889637471928136,0.8208999407933688,3117.0
ViT-S/16,xgboost,Erythroblast,0.7128427128427128,0.6370083816892328,0.672795369424583,1551.0
ViT-S/16,xgboost,Lymphocyte,0.44531590413943356,0.841845140032949,0.5825021373610715,1214.0
ViT-S/16,xgboost,Monocyte,0.9305135951661632,0.43380281690140843,0.5917387127761767,1420.0
ViT-S/16,xgboost,Seg. Neut.,0.8707964601769912,0.8867527786121958,0.8787021878255693,3329.0
ViT-S/16,linear,Basophil,0.8679245283018868,0.7553366174055829,0.8077260755048288,1218.0
ViT-S/16,linear,Eosinophil,0.7789665970772442,0.9576515880654476,0.8591164196287235,3117.0
ViT-S/16,linear,Erythroblast,0.8325859491778774,0.7182462927143778,0.7712011076497057,1551.0
ViT-S/16,linear,Lymphocyte,0.6278772378516624,0.8088962108731467,0.706983441324694,1214.0
ViT-S/16,linear,Monocyte,0.9598214285714286,0.6056338028169014,0.7426597582037997,1420.0
ViT-S/16,linear,Seg. Neut.,0.8876226654004432,0.842294983478522,0.8643649815043156,3329.0
Handcrafted,xgboost,Basophil,0.4846350832266325,0.6215106732348111,0.5446043165467626,1218.0
Handcrafted,xgboost,Eosinophil,0.8261012491781723,0.8062239332691691,0.816041565189154,3117.0
Handcrafted,xgboost,Erythroblast,1.0,0.18568665377176016,0.3132137030995106,1551.0
Handcrafted,xgboost,Lymphocyte,0.5139896373056995,0.8171334431630972,0.6310432569974554,1214.0
Handcrafted,xgboost,Monocyte,0.7852004110996916,0.5380281690140845,0.6385290430422065,1420.0
Handcrafted,xgboost,Seg. Neut.,0.7614701529353725,0.9273054971462902,0.8362454286875254,3329.0
Handcrafted,linear,Basophil,0.640625,0.47126436781609193,0.543046357615894,1218.0
Handcrafted,linear,Eosinophil,0.5310147006095375,0.47513634905357716,0.5015238740264139,3117.0
Handcrafted,linear,Erythroblast,0.9744318181818182,0.22114764667956158,0.3604834471886495,1551.0
Handcrafted,linear,Lymphocyte,0.5401858939311099,0.8138385502471169,0.6493591850147881,1214.0
Handcrafted,linear,Monocyte,0.2777777777777778,0.007042253521126761,0.013736263736263736,1420.0
Handcrafted,linear,Seg. Neut.,0.5439717504624181,0.9717632922799639,0.697498921949116,3329.0
Handcrafted (CellPose seg),xgboost,Basophil,0.8038932948810382,0.9154351395730707,0.8560460652591171,1218.0
Handcrafted (CellPose seg),xgboost,Eosinophil,0.9682741116751269,0.9791466153352583,0.973680012761206,3117.0
Handcrafted (CellPose seg),xgboost,Erythroblast,0.9974358974358974,0.2508059316569955,0.40082431736218443,1551.0
Handcrafted (CellPose seg),xgboost,Lymphocyte,0.7802114803625377,0.8509060955518946,0.814026792750197,1214.0
Handcrafted (CellPose seg),xgboost,Monocyte,0.7330006238303182,0.8274647887323944,0.7773734700628515,1420.0
Handcrafted (CellPose seg),xgboost,Seg. Neut.,0.8261958427247683,0.9909882847702013,0.9011199125921879,3329.0
Handcrafted (CellPose seg),linear,Basophil,0.6786283891547049,0.6986863711001642,0.6885113268608414,1218.0
Handcrafted (CellPose seg),linear,Eosinophil,0.9223688247928813,0.9643888354186718,0.9429109159347553,3117.0
Handcrafted (CellPose seg),linear,Erythroblast,0.9935344827586207,0.2972275950999355,0.4575682382133995,1551.0
Handcrafted (CellPose seg),linear,Lymphocyte,0.84,0.41515650741350907,0.5556780595369349,1214.0
Handcrafted (CellPose seg),linear,Monocyte,0.3118466898954704,0.126056338028169,0.17953861584754263,1420.0
Handcrafted (CellPose seg),linear,Seg. Neut.,0.5831870831870832,0.9981976569540403,0.7362357372327462,3329.0
